transaction_id,transaction_timestamp,transaction_hour,user_id,category,status,amount
20251005-000000,2025-10-05 10:21:32,10,8270,Books,shipped,102.85
20251005-000001,2025-10-05 10:45:02,10,1860,Home & Garden,processing,220.2
20251005-000002,2025-10-05 10:29:17,10,6390,Home & Garden,completed,149.07
20251005-000003,2025-10-05 11:37:24,11,6191,Books,completed,66.32
20251005-000004,2025-10-05 15:37:41,15,6734,Toys,shipped,96.37
20251005-000005,2025-10-05 13:44:30,13,7265,Home & Garden,shipped,100.37
20251005-000006,2025-10-05 15:50:53,15,1466,Home & Garden,completed,155.12
20251005-000007,2025-10-05 08:53:57,8,5426,Books,shipped,128.37
20251005-000008,2025-10-05 15:07:02,15,6578,Home & Garden,completed,117.04
20251005-000009,2025-10-05 11:26:39,11,9322,Home & Garden,completed,150.2
20251005-000010,2025-10-05 18:26:45,18,2685,Books,completed,173.89
20251005-000011,2025-10-05 08:33:23,8,1769,Books,completed,137.05
20251005-000012,2025-10-05 15:20:49,15,7949,Electronics,completed,121.26
20251005-000013,2025-10-05 11:29:31,11,3433,Toys,completed,128.93
20251005-000014,2025-10-05 13:32:46,13,6311,Toys,shipped,166.99
20251005-000015,2025-10-05 15:27:21,15,6051,Home & Garden,completed,149.63
20251005-000016,2025-10-05 11:46:22,11,7420,Toys,completed,188.36
20251005-000017,2025-10-05 21:32:01,21,2184,Home & Garden,processing,92.51
20251005-000018,2025-10-05 10:04:26,10,5555,Electronics,completed,111.23
20251005-000019,2025-10-05 21:59:41,21,4385,Books,completed,188.66
20251005-000020,2025-10-05 16:47:01,16,7396,Books,shipped,109.91
20251005-000021,2025-10-05 10:18:25,10,9666,Books,completed,219.2
20251005-000022,2025-10-05 16:03:16,16,3558,Toys,completed,220.26
20251005-000023,2025-10-05 20:34:39,20,8849,Electronics,completed,219.62
20251005-000024,2025-10-05 09:48:32,9,3047,Toys,completed,105.97
20251005-000025,2025-10-05 21:16:08,21,3747,Toys,processing,153.84
20251005-000026,2025-10-05 09:43:42,9,1189,Electronics,processing,125.33
20251005-000027,2025-10-05 09:27:53,9,3734,Electronics,shipped,196.16
20251005-000028,2025-10-05 13:29:47,13,4005,Electronics,processing,235.33
20251005-000029,2025-10-05 10:28:38,10,5658,Electronics,processing,193.68
20251005-000030,2025-10-05 20:45:28,20,2899,Books,completed,150.46
20251005-000031,2025-10-05 16:52:41,16,8734,Fashion,processing,131.72
20251005-000032,2025-10-05 11:05:54,11,2267,Fashion,completed,182.45
20251005-000033,2025-10-05 08:34:25,8,2528,Electronics,processing,88.86
20251005-000034,2025-10-05 11:59:34,11,4556,Fashion,processing,176.82
20251005-000035,2025-10-05 08:40:49,8,4890,Fashion,completed,104.27
20251005-000036,2025-10-05 21:36:24,21,9838,Electronics,completed,181.03
20251005-000037,2025-10-05 12:23:23,12,6393,Fashion,completed,141.95
20251005-000038,2025-10-05 11:28:12,11,9792,Toys,completed,130.59
20251005-000039,2025-10-05 15:48:59,15,9433,Home & Garden,processing,105.72
20251005-000040,2025-10-05 15:45:57,15,8513,Home & Garden,processing,132.16
20251005-000041,2025-10-05 14:52:06,14,3612,Electronics,completed,177.81
20251005-000042,2025-10-05 10:30:56,10,8041,Books,completed,202.19
20251005-000043,2025-10-05 08:34:35,8,7235,Electronics,completed,176.32
20251005-000044,2025-10-05 08:59:44,8,6486,Books,completed,218.19
20251005-000045,2025-10-05 19:32:19,19,8099,Home & Garden,completed,276.96
20251005-000046,2025-10-05 18:51:00,18,1775,Electronics,completed,133.78
20251005-000047,2025-10-05 10:20:07,10,9226,Toys,processing,139.71
20251005-000048,2025-10-05 13:31:45,13,4152,Fashion,completed,78.0
20251005-000049,2025-10-05 14:22:15,14,2585,Books,completed,209.54
